5319	מס' מיון	שם הספר	שם המחבר	הוצאה	כרך	מס' עתי'	Date	Initials	Is Bound	Comments	קטיגורי	מס׳ מדף							
		ארבעה טורים השלם -  אבן העזר -- ב -- סו - קיח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יב	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  אבן העזר -- ב -- סו - קיח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יב		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  אבן העזר -- ג -- קיט - קעח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יג	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  אבן העזר -- ג -- קיט - קעח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יג	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- ג -- קיב - קפב	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ח	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- ד -- קפג - רמד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ט		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- ד -- קפג - רמד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ט		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- ה -- רמה - שד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	י		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- ה -- רמה - שד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	י		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- ו -- שה - תג	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	י		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- ו -- שה - תג	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	י		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - אבן העזר -- א -- א - צה   (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ז		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - אבן העזר -- ב -- צו - קעח  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ז		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - אורח חיים -- א -- א - רמא  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	א		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - אורח חיים -- ב -- רמב - תכח  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ב		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - אורח חיים -- ג -- תכט - תרצז  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ג		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - חשון משפט -- א -- א - עד   (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ט		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - חשון משפט -- ב -- עה - קנו   (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	י		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - חשון משפט -- ג -- קנז - רמ  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יא		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - חשון משפט -- ד -- רמא - תכו  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יב		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - חשן משפט -- א -- א - לח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יד		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - חשן משפט -- א -- א - לח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יד		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
